OBJECTID;NUMERO;IMMEUBLE;DESIGNATION;DENOMINATION;COMPLEMENT;ALTITUDE;ANNEE;X;Y;TYP;geo_shape;geo_point_2d
13847;rn60145;31;Rue de la;MONTAGNE DE LA FAGE;#;32.11;1995;595667.816;126476.466;ENSERVICE;"{""type"": ""Point"", ""coordinates"": [2.277505433598117, 48.83874750983624]}";48.8387475098,2.2775054336
13886;rn75385;16;Rue de la;MARSEILLAISE;#;56.343;1992;604518.0;132059.0;ENSERVICE;"{""type"": ""Point"", ""coordinates"": [2.398136118404087, 48.888948476462936]}";48.8889484765,2.3981361184
13900;rn42163;52;Rue;SERVAN;Face aux n°53 à 57;49.341;1985;603336.343;129139.363;ENSERVICE;"{""type"": ""Point"", ""coordinates"": [2.381998008439795, 48.8627004812194]}";48.8627004812,2.38199800844
13909;rn07033;37;Rue du;LOUVRE;#;36.148;1982;600532.465;129624.946;ENSERVICE;"{""type"": ""Point"", ""coordinates"": [2.34378205429338, 48.86707605292079]}";48.8670760529,2.34378205429
13929;rn26067;#;Boulevard de;LA TOUR-MAUBOURG;A l'angle de l'avenue de Tourneville_ Sur l'Hôtel des Invalides;38.501;1983;598049.779;128181.114;ENSERVICE;"{""type"": ""Point"", ""coordinates"": [2.309947404164267, 48.85408919292442]}";48.8540891929,2.30994740416
13961;rn62011;20;Rue de la;TOUR;#;58.654;1994;596085.89;128750.829;ENSERVICE;"{""type"": ""Point"", ""coordinates"": [2.283178887450914, 48.85920310085482]}";48.8592031009,2.28317888745
13998;rn37052;11;Rue de;ROCROY;Angle rue de Belzunce;50.749;1986;601040.509;131000.898;ENSERVICE;"{""type"": ""Point"", ""coordinates"": [2.3507106567387392, 48.879448990660684]}";48.8794489907,2.35071065674
14011;rn46105;85;Rue de;REUILLY;#;45.457;1995;603917.108;127132.639;ENSERVICE;"{""type"": ""Point"", ""coordinates"": [2.389894585403778, 48.844651096992195]}";48.844651097,2.3898945854
14019;rn45027;4;Boulevard de;PICPUS;A l'angle de la rue Louis Braille;51.298;1984;604701.871;126577.097;ENSERVICE;"{""type"": ""Point"", ""coordinates"": [2.4005805532329942, 48.83964974911145]}";48.8396497491,2.40058055323
14022;rn60056;27;Avenue;EMILE ZOLA;Angle rue de Javel;31.107;1995;595915.304;127324.914;ENSERVICE;"{""type"": ""Point"", ""coordinates"": [2.2808684456747, 48.8463790900373]}";48.84637909,2.28086844567
14024;rn70382;52;Rue;MARCADET;#;55.103;1988;601012.0;132241.0;ENSERVICE;"{""type"": ""Point"", ""coordinates"": [2.3503249389569723, 48.890600967228885]}";48.8906009672,2.35032493896
