,OBJECTID,NUMERO,IMMEUBLE,DESIGNATION,DENOMINATION,COMPLEMENT,ALTITUDE,ANNEE,X,Y,TYP,geo_shape,geo_point_2d,lat,long
1417,13821,rn13046,14,Boulevard de,SEBASTOPOL,#,36.446999999999996,2015,600918.335,128793.83099999999,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.349040074993478, 48.85960158630145]}","48.8596015863,2.34904007499",48.8596015863,2.34904007499
1418,13832,rn74142,106,Boulevard,MACDONALD,#,46.638999999999996,1987,603462.787,133169.35,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.383755481465619, 48.89894043867635]}","48.8989404387,2.38375548147",48.8989404387,2.38375548147
1419,13854,rn75173,#,Place des,FETES,Sur le mur d'escalier d'accès au parking,111.60600000000001,1992,604261.0,130721.0,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.394617447998428, 48.87691801954333]}","48.8769180195,2.394617448",48.8769180195,2.394617448
1420,13860,rn43016,127,Rue de la,ROQUETTE,#,41.903999999999996,1982,603397.613,128662.67800000001,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.3828291634166052, 48.858413438783955]}","48.8584134388,2.38282916342",48.8584134388,2.38282916342
1421,13873,rn79219,#,#,CIMETIERE DU PERE LACHAISE,Sur le mur d'enceinte face au chemin Léger,65.773,1988,604295.264,128574.957,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.395062069499223, 48.857618962728175]}","48.8576189627,2.3950620695",48.8576189627,2.3950620695
1422,13892,rn61019,5,Rue du,COMMANDANT GUILBAUD,#,39.895,1994,593764.152,126578.42,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.251569593874224, 48.83964793571022]}","48.8396479357,2.25156959387",48.8396479357,2.25156959387
1423,13899,rn70485,18,Rue du,MONT CENIS,En haut des escaliers partant de la rue Saint-Vincent,124.551,1988,600383.7729999999,131924.954,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.341757197943909, 48.88775956294214]}","48.8877595629,2.34175719794",48.8877595629,2.34175719794
1424,13903,rn46067,1,Avenue de,SAINT-MANDE,Entre les rues de Picpus et Fabre d'Eglantine,49.703,1984,604301.673,127255.758,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.395135554886076, 48.84575570120475]}","48.8457557012,2.39513555489",48.8457557012,2.39513555489
1425,13910,rn46068,65,Rue de,WATTIGNIES,#,37.89,1984,604551.8979999999,126094.44699999999,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.398532020894844, 48.83531053107438]}","48.8353105311,2.39853202089",48.8353105311,2.39853202089
1426,13914,rn76206,#,#,PARC DES BUTTES CHAUMONT,En haut des escaliers menant à l'avenue Jacques de Liniers_ A 7 mètres du candélabre XIX-5501_ Sur le rocher,94.853,1987,603243.0,130933.0,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.380739934164989, 48.87883070547612]}","48.8788307055,2.38073993416",48.8788307055,2.38073993416
1427,13922,rn76310,#,#,PARC DES BUTTES CHAUMONT,Chemin reliant le pont des Suicides au temple de Sybille_ Sur le rocher à droite de la passerelle de pierre,86.93299999999999,1992,603422.0,131136.0,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.383182168996238, 48.88065526118861]}","48.8806552612,2.383182169",48.8806552612,2.383182169
1428,13934,rn75599,#,Allée,ARTHUR HONEGGER,Sur le lycée technique Dalembert,53.06100000000001,1995,604235.52,131932.85,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.394282609610189, 48.887816056510644]}","48.8878160565,2.39428260961",48.8878160565,2.39428260961
1429,13948,rn73036,18,Avenue,SECRETAN,#,53.995,1992,602578.8520000001,131263.217,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.371686806098102, 48.881803415587136]}","48.8818034156,2.3716868061",48.8818034156,2.3716868061
1430,13970,rn61270,7,Rue,AGAR,#,32.784,1994,595408.122,127879.627,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.2739515508234343, 48.85136389096509]}","48.851363891,2.27395155082",48.851363891,2.27395155082
1431,13977,rn53043,2,Rue,LALANDE,Angle rue Froidevaux,59.53,1982,599448.66,126077.385,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.329013734955046, 48.83517372834477]}","48.8351737283,2.32901373496",48.8351737283,2.32901373496
1432,14014,rn70248,52,Boulevard de,ROCHECHOUART,Angle impasse du Cadran,67.105,1988,600672.465,131437.27599999998,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.345693254658855, 48.88337374567477]}","48.8833737457,2.34569325466",48.8833737457,2.34569325466
1433,14055,rn46224,#,Route de la,PYRAMIDE,Sur le pilier du portail d'entrée de l'école du Breuil_ Côté A4,53.458,1996,608994.34,124668.696,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.45901703121229, 48.822440265909854]}","48.8224402659,2.45901703121",48.8224402659,2.45901703121
1434,14093,rn80332,8,Cité,LECLAIRE,Près de la rue Victor Segalen,70.442,1995,605114.84,128890.261,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.406235590762744, 48.86044814806689]}","48.8604481481,2.40623559076",48.8604481481,2.40623559076
1435,14098,rn36052,5,Rue,MILTON,Angle rue Hyppolyte Lebas,38.131,1985,600290.9670000001,130749.552,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.340490883153546, 48.87718951701533]}","48.877189517,2.34049088315",48.877189517,2.34049088315
1436,14113,rn77013,#,Place du,GUIGNIER,Sur le bureau du service des égouts,99.90899999999999,1988,604149.502,130096.335,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.393090974919745, 48.87130132970604]}","48.8713013297,2.39309097492",48.8713013297,2.39309097492
1437,14135,rn67148,19Bis,Rue,JOUFFROY D'ABBANS,#,42.023999999999994,1993,598142.345,131772.536,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.311192100227315, 48.88638623740016]}","48.8863862374,2.31119210023",48.8863862374,2.31119210023
1438,14147,rn16054,1,Quai d',ANJOU,Sur l'Hôtel Lambert,33.515,1990,601724.538,127828.09599999999,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.360023828788809, 48.850915237576835]}","48.8509152376,2.36002382879",48.8509152376,2.36002382879
1439,14162,rn57094,#,Rue du,DOCTEUR JACQUEMAIRE-CLEMENCEAU,Angle rue Jean Formige sur le square Saint-Lambert,35.063,1984,597182.017,126834.711,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.298131406716933, 48.841977969293175]}","48.8419779693,2.29813140672",48.8419779693,2.29813140672
1440,14165,rn60005,#,Place,ETIENNE PERNET,Face au n°3 sur l'église Saint-Jean Baptiste de Grenelle,33.851,1984,596803.5989999999,126999.93699999999,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.29297443885708, 48.84346194211489]}","48.8434619421,2.29297443886",48.8434619421,2.29297443886
1441,14170,rn17055,26,Rue des,FOSSES SAINT-BERNARD,#,34.111,1981,601308.906,127536.145,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.354359237358679, 48.84829082444288]}","48.8482908244,2.35435923736",48.8482908244,2.35435923736
1442,14178,rn62015,22,Rue,BENJAMIN FRANKLIN,A l'angle de la rue Le Tasse,61.758,1994,596297.755,128887.75,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.286065123731307, 48.86043571544073]}","48.8604357154,2.28606512373",48.8604357154,2.28606512373
1443,14181,rn51179,#,#,JARDIN DU MOULIN DE LA POINTE,Sur la sortie de secours du parking souterrain,56.568999999999996,1995,601555.325,124492.01,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.35770553945153, 48.82091512878818]}","48.8209151288,2.35770553945",48.8209151288,2.35770553945
1444,14183,rn73199,5,Passage de la,MOSELLE,#,52.027,1992,603019.406,131528.62900000002,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.377695766478674, 48.884188188808544]}","48.8841881888,2.37769576648",48.8841881888,2.37769576648
1445,14201,rn17006,52,Boulevard,SAINT-GERMAIN,#,34.453,1980,600977.444,127715.868,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.349843171270714, 48.84990764640641]}","48.8499076464,2.34984317127",48.8499076464,2.34984317127
1446,14213,rn48159,58,Avenue,DAUMESNIL,#,35.483000000000004,1996,603149.818,127187.256,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.3794407210675352, 48.845146667326986]}","48.8451466673,2.37944072107",48.8451466673,2.37944072107
1447,14230,rn41155,1Bis,Rue de,VAUCOULEURS,Face au n°6,47.708999999999996,1985,603042.578,129778.07400000001,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.377998757530916, 48.86844577387739]}","48.8684457739,2.37799875753",48.8684457739,2.37799875753
1448,14235,rn42019,59,Boulevard,RICHARD-LENOIR,A l'angle de l'allée Verte,35.484,1984,602578.394,128804.231,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.371665148768088, 48.859690376647144]}","48.8596903766,2.37166514877",48.8596903766,2.37166514877
1449,14244,rn69093,19,Rue,THOLOZE,Angle rue Durantin,89.21799999999999,1988,599930.667,131801.434,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.335578333370377, 48.88664889800887]}","48.886648898,2.33557833337",48.886648898,2.33557833337
1450,14257,rn79222,#,#,CIMETIERE DU PERE LACHAISE,Sur la porte Sud Est menant au square Henri Karcher,89.14299999999999,1988,604680.623,128850.465,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.400317084307424, 48.8600937213694]}","48.8600937214,2.40031708431",48.8600937214,2.40031708431
1451,14285,rn66116,#,Avenue de,VILLIERS,A l'angle de la place du Maréchal Juin,35.916,1993,597183.373,131585.02,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.298116509760895, 48.88469631171671]}","48.8846963117,2.29811650976",48.8846963117,2.29811650976
1452,14326,rn27045,14,Rue,EBLE,Face à la rue du Général Bertrand_ Sur l'école,35.175,1983,598252.15,127608.27699999999,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.312707736430798, 48.84893842118815]}","48.8489384212,2.31270773643",48.8489384212,2.31270773643
1453,14343,rn61328,#,Avenue de la,PORTE D'AUTEUIL,Sur la trémie de l'autoroute,37.836999999999996,1996,593184.0179999999,127526.561,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.243650099858251, 48.848168155238334]}","48.8481681552,2.24365009986",48.8481681552,2.24365009986
1454,14370,rn70003,64Bis,Rue du,RUISSEAU,Prés de la rue du Poteau,55.393,1988,600321.845,132724.014,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.3409132661478402, 48.894945347958156]}","48.894945348,2.34091326615",48.894945348,2.34091326615
1455,14374,rn80257,109,Cours de,VINCENNES,Côté Est de la porte cochère du n°109,52.24,1988,605425.543,127447.975,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.410451086933479, 48.84747538450132]}","48.8474753845,2.41045108693",48.8474753845,2.41045108693
