,nodeid,latitude,longitude
267,382038,48.8322388,2.3797778
268,382039,48.8329679,2.3787507
269,382045,48.8344579,2.3731375
270,382046,48.8355419,2.3721269
271,382049,48.8362129,2.3714895
272,382050,48.833824,2.3650971
273,382051,48.8321657,2.367637
274,382052,48.8339797,2.3647847
275,382053,48.8434138,2.370735
276,382054,48.8478357,2.3640916
277,382057,48.846846,2.3609481
278,382061,48.8519155,2.358611
279,382062,48.8524438,2.357066
280,382063,48.8530123,2.3552992
281,382064,48.8534175,2.3540054
282,382067,48.8528801,2.3533008
283,382068,48.8521676,2.353681
284,382069,48.8516311,2.3541599
285,382070,48.8513444,2.3552545
286,382071,48.8511377,2.3559179
287,382072,48.8505947,2.3575168
288,382073,48.8502611,2.3585159
289,382074,48.850081,2.3590296
290,382076,48.8529217,2.3535281
291,382077,48.8518338,2.3565473
292,382078,48.8524483,2.354842
293,382079,48.8520843,2.3558532
294,382080,48.851283,2.3580839
295,382081,48.8509397,2.3590385
296,382082,48.8526936,2.3541528
297,390027,48.8509679,2.3964579
298,390030,48.8504119,2.3925211
299,390033,48.8489668,2.3920084
300,390034,48.8480382,2.3928506
301,390035,48.8471465,2.3936715
302,390041,48.8489439,2.3955684
303,390042,48.8487905,2.3952373
304,390043,48.8485175,2.3950215
305,390044,48.8482871,2.3950103
306,390047,48.8481806,2.3967898
307,390052,48.8484383,2.396839
308,390053,48.8487883,2.3966072
309,390056,48.8482123,2.3943442
310,390060,48.8477806,2.3958129
311,390153,48.8489264,2.3985446
312,390158,48.8472878,2.3989257
313,390197,48.8395175,2.3961342
314,390198,48.8395387,2.395451
315,390202,48.8388965,2.3974499
316,390214,48.8427115,2.3974913
317,390248,48.836057,2.3867648
318,390252,48.8364877,2.3876847
319,390306,48.8462793,2.3774063
320,390313,48.847004,2.3837717
321,390316,48.846772,2.3817132
322,398708,48.8644209,2.3515281
323,398709,48.864829,2.3533193
324,398745,48.8638647,2.3490334
325,398747,48.8652925,2.343086
326,398767,48.8746674,2.3393461
327,398768,48.8706928,2.3325488
328,398769,48.8710801,2.3347858
329,398772,48.8716742,2.3382629
330,398773,48.8703017,2.332714
331,398774,48.8700729,2.3325517
332,398775,48.8702107,2.3322283
333,398776,48.8706136,2.3320706
334,398783,48.8737477,2.3271551
335,398785,48.874847,2.3198244
336,398787,48.8710733,2.3318505
337,398788,48.871156,2.332342
338,398789,48.8722064,2.3328034
339,398792,48.8702501,2.329943
340,398795,48.8692559,2.3238947
341,398800,48.8687213,2.3331307
342,398801,48.8644748,2.3349363
343,430770,48.819145,2.3594606
344,430773,48.8210173,2.3506446
345,430775,48.8194879,2.3446021
346,430777,48.8213603,2.3343552
347,430784,48.8347063,2.3313128
348,430785,48.8340774,2.330922
349,430786,48.8332393,2.3315411
350,430788,48.8597514,2.3768492
351,430789,48.8587156,2.378584
352,430794,48.8533915,2.3794021
353,430795,48.8532717,2.3770122
354,430796,48.8532065,2.375077
355,430799,48.8825102,2.3692103
356,430802,48.8718957,2.3645298
357,430803,48.8697616,2.3661837
358,442138,48.8193334,2.3619725
359,442139,48.820154,2.36463
360,442150,48.8237497,2.3619778
361,442190,48.8261491,2.3127519
362,442192,48.8277487,2.3054972
363,442194,48.8286407,2.3014298
364,442196,48.8309442,2.2924987
365,442197,48.8326932,2.2883604
366,442207,48.8354165,2.2810656
367,442211,48.8387717,2.2697526
368,442216,48.8453547,2.2575332
369,442242,48.8596337,2.2661315
370,442252,48.8668753,2.271815
371,442256,48.8717044,2.2757619
372,442258,48.8737922,2.2774405
373,442296,48.8360773,2.3921752
374,442301,48.8336313,2.3948808
375,442306,48.8749408,2.2785158
376,442308,48.882258,2.286076
377,442309,48.8856777,2.2915177
378,442316,48.8490538,2.4115116
379,442317,48.8534855,2.4105158
380,442319,48.8874974,2.2947714
381,442320,48.8894508,2.2991349
382,442321,48.8910624,2.3025282
383,442333,48.8646564,2.4086357
384,442335,48.8679431,2.4088776
385,442344,48.8771874,2.4065457
386,442345,48.8777884,2.4056378
387,442348,48.8802663,2.4003829
388,442349,48.8806977,2.4000569
389,442371,48.8987111,2.3711622
390,442373,48.8836491,2.3969899
391,442375,48.8866014,2.3963063
392,442378,48.8987981,2.3841383
393,470124,48.8376844,2.322861
394,470125,48.8375472,2.3229298
395,470126,48.8324783,2.3249982
396,470129,48.8473362,2.3408464
397,470130,48.8488413,2.341758
398,470131,48.8506264,2.3428034
399,470132,48.8508383,2.345541
400,470133,48.8495911,2.3448714
401,470134,48.8473646,2.3436601
402,470135,48.846796,2.3433551
403,470136,48.8443318,2.3420496
404,470137,48.8499851,2.3490085
405,470138,48.8495209,2.3528726
406,470139,48.851188,2.3626942
407,470142,48.8561313,2.3404015
408,470145,48.8578087,2.3352956
409,470146,48.8582658,2.3332665
410,470147,48.8576193,2.3327512
411,470149,48.8544657,2.3304702
412,470150,48.8518682,2.3286248
413,470152,48.8506986,2.3252736
414,470153,48.8502335,2.32414
415,470154,48.8482314,2.3201774
416,470156,48.8582212,2.3283353
417,470157,48.8588006,2.3287489
418,470159,48.8560436,2.3259635
419,470160,48.857698,2.323896
420,470161,48.85914,2.3202091
421,470162,48.8597994,2.3181564
422,470164,48.8599661,2.3148365
423,470165,48.8599548,2.3131081
424,470166,48.8599384,2.3101795
425,470170,48.8496383,2.3079111
426,470171,48.8510366,2.3061381
427,470172,48.8494246,2.3037705
428,470173,48.8511847,2.3009132
429,470175,48.8547095,2.2953648
430,470177,48.857476,2.2910099
431,470180,48.8605421,2.2956191
432,470182,48.8624388,2.3019454
433,470183,48.8618535,2.3014499
434,470184,48.8576473,2.3001512
435,470185,48.8592274,2.3051352
436,470186,48.8603935,2.2912631
437,470188,48.8605848,2.2908318
438,470192,48.859719,2.3078041
439,470195,48.879398,2.3485666
440,470197,48.8699143,2.3348127
441,470198,48.8691782,2.338689
442,470200,48.8673701,2.3473075
443,470202,48.8662268,2.3525504
444,470203,48.865977,2.353766
445,471728,48.8386737,2.3366476
446,644079,48.8453291,2.2586805
447,644084,48.8426289,2.3026724
448,644085,48.8409161,2.2969985
449,644087,48.8441241,2.2752394
450,644090,48.8758017,2.3602449
451,644092,48.8902351,2.3599793
452,644102,48.8958144,2.3713598
453,644109,48.8997215,2.3702829
454,644119,48.8973872,2.3448325
455,644122,48.8957519,2.3395439
456,644123,48.8953189,2.3375759
457,644124,48.8946561,2.3346365
458,644125,48.8936232,2.3300973
459,644129,48.8912377,2.3190875
460,644130,48.8915685,2.3184911
461,644131,48.8896898,2.3166761
462,644133,48.8839595,2.300307
463,644134,48.8828366,2.3029851
464,644135,48.882197,2.3044922
465,644137,48.8840092,2.3087032
466,644139,48.8866442,2.3130909
467,644143,48.8303332,2.3458868
468,644144,48.826327,2.3598216
469,644145,48.8330116,2.36183
470,644147,48.832738,2.3621754
471,644148,48.8335273,2.361469
472,644149,48.8334502,2.3613402
473,644153,48.8334904,2.3612128
474,644154,48.8339274,2.3598546
475,644156,48.8355614,2.3585395
476,644159,48.8291819,2.3651419
477,644160,48.8567219,2.3489342
478,644163,48.8521389,2.3609324
479,644165,48.8167613,2.3602096
480,661209,48.8337548,2.3333558
481,661211,48.8739267,2.3257905
482,661213,48.87525,2.3242781
483,661214,48.8780545,2.3226225
484,661215,48.8804106,2.317374
485,661216,48.8807416,2.3170527
486,661218,48.8751368,2.2960232
487,661220,48.874578,2.2969694
488,661221,48.8739778,2.2972956
489,661225,48.8709454,2.2975047
490,661227,48.8651558,2.299843
491,661233,48.8552724,2.289499
492,661235,48.8544184,2.2886492
493,661237,48.851657,2.2913769
494,661239,48.8506758,2.2923769
495,661244,48.8464821,2.301822
496,704766,48.865327,2.3744174
497,704778,48.8526951,2.4061085
498,704779,48.8489527,2.4065708
499,704780,48.8400886,2.4044722
500,704781,48.8376805,2.4038122
501,704782,48.8366973,2.4034875
502,704784,48.832078,2.3972957
503,792952,48.8291089,2.3605484
504,792953,48.8292395,2.360699
505,792954,48.8302432,2.3622151
506,792956,48.8310148,2.3611254
507,792958,48.8315812,2.3636624
508,792960,48.8320827,2.3652678
509,792961,48.8323844,2.364868
510,792962,48.8333207,2.3636524
511,792964,48.8305397,2.3660044
512,792967,48.8294349,2.3653992
513,792968,48.830024,2.3672567
514,792970,48.8302063,2.3675311
515,792971,48.8303829,2.3678437
516,792972,48.8304947,2.3674109
517,792973,48.8305555,2.3673258
518,792976,48.8294237,2.3685297
519,792978,48.8292969,2.3682425
520,792980,48.8291866,2.3652664
521,792982,48.8290971,2.3650272
522,792983,48.8289449,2.3652885
523,792984,48.8289992,2.3653829
524,792985,48.8283186,2.3672561
525,792986,48.8279214,2.366648
526,792987,48.8275863,2.3661349
527,792988,48.8281995,2.3657574
528,792989,48.8285922,2.3655156
529,792991,48.8277737,2.3645499
530,1688996,48.8279831,2.3693806
531,1689006,48.8281064,2.3707111
532,1689008,48.8286332,2.3699127
533,1689010,48.828405,2.3695587
534,1689012,48.8295977,2.3715575
535,1689013,48.8297197,2.371798
536,1689016,48.8310482,2.3743874
537,1689027,48.828932,2.3725124
538,1689029,48.8272927,2.3685251
539,1689030,48.8271042,2.3671246
540,1689033,48.8276142,2.3708858
541,2035302,48.8505867,2.3600338
542,4616525,48.8628341,2.3134495
543,4616526,48.8628941,2.3179455
544,4616528,48.8626393,2.3190674
545,4616532,48.8625524,2.3092277
546,4616537,48.8641916,2.3001309
547,4616541,48.8639207,2.2989008
548,4616542,48.8629912,2.2952027
549,4616553,48.851324,2.2784754
550,4616555,48.8491031,2.2754325
551,4616562,48.8519182,2.2852003
552,4616563,48.85882,2.3129666
553,4616565,48.8579445,2.3151472
554,4616566,48.8536931,2.314733
555,4616567,48.8518154,2.3145185
556,4616570,48.8482836,2.3157894
557,7304705,48.8249475,2.3624471
558,7304709,48.827082,2.3742215
559,7304712,48.8289435,2.3798411
560,7304714,48.8296088,2.3792063
561,7304715,48.8306473,2.3817526
562,7304716,48.8288915,2.3839625
563,8809431,48.8393628,2.3957467
564,8809434,48.836715,2.3984282
565,8809435,48.8356232,2.3970758
566,8809436,48.8362374,2.3946479
567,8809437,48.8543393,2.371456
568,8809438,48.8547926,2.3727352
569,8809439,48.8555259,2.3744148
570,8809440,48.8557725,2.3750847
571,8809441,48.8533019,2.3757374
572,8809442,48.8544387,2.3713704
573,8809445,48.8556876,2.3716429
574,8809447,48.855165,2.3703525
575,8809449,48.8547347,2.3695371
576,8809450,48.8553837,2.3698326
577,8809451,48.8559257,2.3692026
578,14798299,48.8493805,2.2815637
579,14798301,48.8465559,2.2859896
580,14798302,48.8456473,2.2879873
581,14798303,48.8436769,2.293009
582,14798304,48.8428777,2.2950424
583,14798305,48.8413442,2.2965977
584,14798306,48.8485507,2.2576953
585,14798307,48.8485561,2.2684597
586,14798308,48.8483017,2.2672942
587,14798310,48.8490106,2.266359
588,14798311,48.8488699,2.2651665
589,14798312,48.8487092,2.2635126
590,14798315,48.8484113,2.2604779
591,14802818,48.8496135,2.2714503
592,14803152,48.8656723,2.2332373
593,14803153,48.8649915,2.2343936
594,14803155,48.8645909,2.23527
595,14803158,48.8634818,2.2390238
596,14803160,48.8634807,2.2394038
597,14803161,48.8637116,2.2401307
598,14803162,48.8638694,2.2405268
